Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
13,10,1991,0.2636,0.4193,0.0225,0.1159,0.154,-0.0313,-0.1127,,,0.2289,0.0916,-0.0297,-0.0297,0.2292,-0.0074,0.2434
14,1,1983,0.1787,0.309,0.0465,-0.0057,0.1195,0.0092,-0.1984,,,0.1857,0.2006,-0.0365,-0.0365,0.0212,0.3263,0.199
14,2,1984,0.0212,-0.1777,0.0538,0.0941,0.1123,0.007,-0.2244,,,0.3647,0.0376,-0.038,-0.038,0.0971,0.1159,0.4061
14,3,1985,0.2644,0.2056,0.0354,0.2111,0.1933,0.0354,0.0212,,,0.4481,0.5098,-0.0366,-0.0366,0.1807,0.0577,0.5004
14,4,1986,0.172,0.0105,0.0482,0.2293,0.2003,0.0842,0.1767,,,0.4829,0.6809,-0.0109,-0.0109,0.2758,0.0575,0.531
14,5,1987,0.0132,-0.1768,0.0129,-0.0899,-0.0155,0.0327,0.1925,,,0.3964,0.1963,-0.0424,-0.0424,0.2669,0.0081,0.4339
14,6,1988,0.1161,0.124,0.0215,0.0364,0.0954,0.0268,-0.1885,,,0.3504,0.2315,-0.0423,-0.0423,0.2741,-0.0017,0.3801
14,7,1989,0.2564,0.022,0.0331,0.1246,0.108,-0.0025,-0.0716,,,0.3046,0.0588,-0.0444,-0.0444,0.2631,-0.0107,0.3285
14,8,1990,-0.0864,-0.3207,0.0131,0.0012,0.0016,-0.0641,-0.0869,,,0.2502,-0.2762,-0.0576,-0.0576,0.2302,-0.0293,0.2696
14,9,1991,0.2636,0.4193,0.0225,0.1159,0.154,-0.0313,-0.1127,,,0.2556,0.0916,-0.0297,-0.0297,0.248,-0.0044,0.2724
14,10,1992,0.0446,0.2197,0.0052,0.0628,0.0817,-0.0202,-0.0839,,,0.2308,-0.1433,-0.0282,-0.0282,0.2311,-0.0058,0.2453
15,1,1984,0.0212,-0.1777,0.0538,0.0941,0.1123,0.007,-0.2244,,,0.1838,0.0376,-0.038,-0.038,0.0196,0.3243,0.1971
15,2,1985,0.2644,0.2056,0.0354,0.2111,0.1933,0.0354,0.0212,,,0.3667,0.5098,-0.0366,-0.0366,0.0987,0.1175,0.4081
15,3,1986,0.172,0.0105,0.0482,0.2293,0.2003,0.0842,0.1767,,,0.4867,0.6809,-0.0109,-0.0109,0.2123,0.086,0.5405
15,4,1987,0.0132,-0.1768,0.0129,-0.0899,-0.0155,0.0327,0.1925,,,0.4356,0.1963,-0.0424,-0.0424,0.2351,0.0237,0.4821
15,5,1988,0.1161,0.124,0.0215,0.0364,0.0954,0.0268,-0.1885,,,0.3966,0.2315,-0.0423,-0.0423,0.267,0.0082,0.434
15,6,1989,0.2564,0.022,0.0331,0.1246,0.108,-0.0025,-0.0716,,,0.3474,0.0588,-0.0444,-0.0444,0.2713,-0.0039,0.3771
15,7,1990,-0.0864,-0.3207,0.0131,0.0012,0.0016,-0.0641,-0.0869,,,0.2867,-0.2762,-0.0576,-0.0576,0.2457,-0.0243,0.3102
15,8,1991,0.2636,0.4193,0.0225,0.1159,0.154,-0.0313,-0.1127,,,0.2872,0.0916,-0.0297,-0.0297,0.2666,-0.0006,0.3072
15,9,1992,0.0446,0.2197,0.0052,0.0628,0.0817,-0.0202,-0.0839,,,0.2575,-0.1433,-0.0282,-0.0282,0.25,-0.0028,0.2743
15,10,1993,0.0703,0.2236,0.0024,0.1115,0.1238,-0.0057,0.1453,,,0.2326,0.2938,-0.0268,-0.0268,0.2329,-0.0044,0.2471
16,1,1985,0.2644,0.2056,0.0354,0.2111,0.1933,0.0354,0.0212,,,0.1855,0.5098,-0.0366,-0.0366,0.0211,0.3262,0.1988
16,2,1986,0.172,0.0105,0.0482,0.2293,0.2003,0.0842,0.1767,,,0.4032,0.6809,-0.0109,-0.0109,0.128,0.1474,0.4457
16,3,1987,0.0132,-0.1768,0.0129,-0.0899,-0.0155,0.0327,0.1925,,,0.4393,0.1963,-0.0424,-0.0424,0.1736,0.0513,0.4913
16,4,1988,0.1161,0.124,0.0215,0.0364,0.0954,0.0268,-0.1885,,,0.4357,0.2315,-0.0423,-0.0423,0.2352,0.0238,0.4823
16,5,1989,0.2564,0.022,0.0331,0.1246,0.108,-0.0025,-0.0716,,,0.3935,0.0588,-0.0444,-0.0444,0.2642,0.006,0.4309
16,6,1990,-0.0864,-0.3207,0.0131,0.0012,0.0016,-0.0641,-0.0869,,,0.3289,-0.2762,-0.0576,-0.0576,0.2538,-0.0176,0.3581
16,7,1991,0.2636,0.4193,0.0225,0.1159,0.154,-0.0313,-0.1127,,,0.3248,0.0916,-0.0297,-0.0297,0.2826,0.0046,0.349
16,8,1992,0.0446,0.2197,0.0052,0.0628,0.0817,-0.0202,-0.0839,,,0.2892,-0.1433,-0.0282,-0.0282,0.2686,0.001,0.3092
16,9,1993,0.0703,0.2236,0.0024,0.1115,0.1238,-0.0057,0.1453,,,0.2594,0.2938,-0.0268,-0.0268,0.2518,-0.0014,0.2762
16,10,1994,-0.0131,-0.0748,0.0154,-0.1043,-0.0355,-0.0015,-0.0471,,,0.2336,0.0525,-0.026,-0.026,0.2339,-0.0036,0.2481
17,1,1986,0.172,0.0105,0.0482,0.2293,0.2003,0.0842,0.1767,,,0.2172,0.6809,-0.0109,0.0573,0.0484,0.3616,0.2309
17,2,1987,0.0132,-0.1768,0.0129,-0.0899,-0.0155,0.0327,0.1925,,,0.3584,0.1963,-0.0424,0.0581,0.092,0.1108,0.3996
17,3,1988,0.1161,0.124,0.0215,0.0364,0.0954,0.0268,-0.1885,,,0.4395,0.2315,-0.0423,0.0873,0.1737,0.0514,0.4915
