Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
9,1,1978,-0.0063,0.2066,0.0,-0.0743,-0.0377,0.0797,0.2783,,,0.1482,0.253,-0.067,-0.067,-0.0111,0.2844,0.161
9,2,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.2891,-0.0352,-0.0913,-0.0913,0.0363,0.0541,0.3281
9,3,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.3494,0.1171,-0.1023,-0.1023,0.1003,-0.0144,0.3982
9,4,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.3146,-0.1321,-0.1231,-0.1231,0.131,-0.0625,0.3572
9,5,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.3185,-0.1036,-0.0958,-0.0958,0.1962,-0.0481,0.3539
9,6,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.2982,0.1472,-0.0794,-0.0794,0.2248,-0.0403,0.3267
9,7,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.2464,-0.0153,-0.0871,-0.0871,0.2067,-0.0549,0.2692
9,8,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.2344,0.4583,-0.0695,-0.0695,0.2147,-0.0416,0.2536
9,9,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.2211,0.6037,-0.0563,-0.0563,0.2137,-0.0317,0.2374
9,10,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.1973,0.181,-0.0546,-0.0546,0.1976,-0.0329,0.2114
10,1,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.1182,-0.0352,-0.0913,-0.0913,-0.0369,0.2509,0.1308
10,2,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.2735,0.1171,-0.1023,-0.1023,0.0238,0.0414,0.3121
10,3,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.318,-0.1321,-0.1231,-0.1231,0.0747,-0.0373,0.3657
10,4,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.3555,-0.1036,-0.0958,-0.0958,0.1662,-0.0334,0.3995
10,5,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.3426,0.1472,-0.0794,-0.0794,0.218,-0.0307,0.3786
10,6,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.2873,-0.0153,-0.0871,-0.0871,0.2145,-0.0484,0.3156
10,7,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.2704,0.4583,-0.0695,-0.0695,0.2299,-0.0367,0.2937
